Member Name,Summary
"M:AlibreScript.API.AssembledPart.GetAssemblyVertices","Gets a python list of the current vertices in the part in the assembly coordinate system"
"M:AlibreScript.API.AssembledPart.GetMappedOccurrence(AlibreX.IADAssemblySession)","Gets the occurrence of the part mapped into the occurrence structure of a specific assembly This occurrence can be used to create constraints in the specific assembly using the part"
"M:AlibreScript.API.AssembledPart.GetAssembly","Gets the assembly for the part"
"M:AlibreScript.API.AssembledPart.GetConfiguration(System.String)","Gets a configuration with a specific name"
"M:AlibreScript.API.AssembledPart.GetAssemblyBoundingBox","Gets the bounding box for the part as eight points in the assembly coordinate system"
"M:AlibreScript.API.AssembledPart.PartPointtoAssemblyPoint(IronPython.Runtime.List)","Converts a point in the part coordinate system into a point in the assembly coordinate system"
"M:AlibreScript.API.AssembledPart.AssemblyPointtoPartPoint(IronPython.Runtime.List)","Converts a point in the assembly coordinate system into a point in the part coordinate system"
"M:AlibreScript.API.AssembledPart.GetFace(System.String)","Gets a face using it's name "Face<n>""
"M:AlibreScript.API.AssembledPart.GetEdge(System.String)","Gets an edge using it's name "Edge<n>""
"M:AlibreScript.API.AssembledPart.GetEdges","Gets a python list of the current edges in the part"
"M:AlibreScript.API.AssembledPart.GetFaces","Gets a python list of the current faces in the part"
"M:AlibreScript.API.AssembledPart.AddPoint(System.String,AlibreScript.API.IPoint,System.Double,System.Double,System.Double)","Adds a point at an offset to a point or a vertex"
"M:AlibreScript.API.AssembledPart.AddPoint(System.String,AlibreScript.API.IPoint,AlibreScript.API.IPoint,System.Double)","Adds a point between two points/vertices"
"M:AlibreScript.API.AssembledPart.AddPoint(System.String,AlibreScript.API.IAxis,AlibreScript.API.IAxis)","Adds a point at the intersection or two axes or edges"
"M:AlibreScript.API.AssembledPart.AddPoint(System.String,AlibreScript.API.IPlane,AlibreScript.API.IPlane,AlibreScript.API.IPlane)","Adds a point at the intersection of three planes or faces"
"M:AlibreScript.API.AssembledPart.AddPoint(System.String,AlibreScript.API.IAxis,AlibreScript.API.IPlane)","Adds a point at the the intersection of a axis or edge and a plane or face"
"M:AlibreScript.API.AssembledPart.AddPoint(System.String,AlibreScript.API.IPoint,AlibreScript.API.IPlane,System.Double,System.Double)","Adds a point by projecting a point or vertex onto a plane or face"
"M:AlibreScript.API.AssembledPart.AddPoint(System.String,AlibreScript.API.Edge,System.Double)","Adds a point on an edge"
"M:AlibreScript.API.AssembledPart.AddPointFromCircularEdge(System.String,AlibreScript.API.Edge)","Adds a point at the center of a circular edge"
"M:AlibreScript.API.AssembledPart.AddPointFromToroidalFace(System.String,AlibreScript.API.Face)","Adds a point at the center of a toroidal face"
"M:AlibreScript.API.Part.RemovePoint(AlibreScript.API.Point)","Removes a point from the part"
"M:AlibreScript.API.Part.RemovePlane(AlibreScript.API.Plane)","Removes a plane from the part"
